id,address,enabled,date_added,date_modified,comment,date_updated,number,invalid_domains,status
1,https://raw.githubusercontent.com/StevenBlack/hosts/master/hosts,1,1662291954,1662291954,"Migrated from /etc/pihole/adlists.list",1662291954,136768,0,2
2,https://mirror1.malwaredomains.com/files/justdomains,1,1662292470,1662292470,,,0,0,4
3,http://sysctl.org/cameleon/hosts,1,1662292470,1662292470,,1662292774,20562,0,1
4,https://s3.amazonaws.com/lists.disconnect.me/simple_tracking.txt,1,1662292470,1662292470,,1662292775,34,0,1
5,https://s3.amazonaws.com/lists.disconnect.me/simple_ad.txt,1,1662292470,1662292470,,1662292776,2701,0,1
6,https://hosts-file.net/ad_servers.txt,1,1662292470,1662292470,,,0,0,4
7,https://dbl.oisd.nl/,1,1662292470,1662292470,,1662292778,997749,0,1
8,https://adaway.org/hosts.txt,1,1662292470,1662292470,,1662292779,7193,0,1
9,https://v.firebog.net/hosts/AdguardDNS.txt,1,1662292470,1662292470,,1662292779,47292,0,1
10,https://raw.githubusercontent.com/anudeepND/blacklist/master/adservers.txt,1,1662292470,1662292470,,1662292779,42553,0,1
11,https://v.firebog.net/hosts/Easylist.txt,1,1662292470,1662292470,,1662292780,21021,1,1
12,https://pgl.yoyo.org/adservers/serverlist.php?hostformat=hosts&showintro=0&mimetype=plaintext,1,1662292470,1662292470,,1662292780,3671,0,1
13,https://raw.githubusercontent.com/StevenBlack/hosts/master/data/UncheckyAds/hosts,1,1662292470,1662292470,,1662292781,9,0,1
14,https://www.squidblacklist.org/downloads/dg-ads.acl,1,1662292470,1662292470,,,0,0,4
15,https://raw.githubusercontent.com/bigdargon/hostsVN/master/hosts,1,1662292470,1662292470,,1662292812,17412,0,1
16,https://raw.githubusercontent.com/jdlingyu/ad-wars/master/hosts,1,1662292470,1662292470,,1662292812,1665,0,1
17,https://v.firebog.net/hosts/Easyprivacy.txt,1,1662292470,1662292470,,1662292812,17282,0,1
18,https://v.firebog.net/hosts/Prigent-Ads.txt,1,1662292470,1662292470,,1662292813,3749,0,1
19,https://gitlab.com/quidsup/notrack-blocklists/raw/master/notrack-blocklist.txt,1,1662292470,1662292470,,1662292813,14972,0,1
20,https://raw.githubusercontent.com/StevenBlack/hosts/master/data/add.2o7Net/hosts,1,1662292470,1662292470,,1662292813,1286,0,1
21,https://raw.githubusercontent.com/crazy-max/WindowsSpyBlocker/master/data/hosts/spy.txt,1,1662292470,1662292470,,1662292814,347,0,1
22,https://raw.githubusercontent.com/Kees1958/WS3_annual_most_used_survey_blocklist/master/w3tech_hostfile.txt,1,1662292470,1662292470,,,0,0,4
23,https://www.github.developerdan.com/hosts/lists/ads-and-tracking-extended.txt,1,1662292470,1662292470,,1662292815,426908,0,1
24,https://hostfiles.frogeye.fr/firstparty-trackers-hosts.txt,1,1662292470,1662292470,,1662292816,13992,0,1
25,https://hostfiles.frogeye.fr/multiparty-trackers-hosts.txt,1,1662292470,1662292470,,1662292816,15614,0,1
26,https://raw.githubusercontent.com/Perflyst/PiHoleBlocklist/master/android-tracking.txt,1,1662292470,1662292470,,1662292816,80,0,1
27,https://raw.githubusercontent.com/Perflyst/PiHoleBlocklist/master/SmartTV.txt,1,1662292470,1662292470,,1662292817,225,0,1
28,https://raw.githubusercontent.com/Perflyst/PiHoleBlocklist/master/AmazonFireTV.txt,1,1662292470,1662292470,,1662292817,17,0,1
29,https://v.firebog.net/hosts/Airelle-trc.txt,1,1662292470,1662292470,,,0,0,4
30,https://raw.githubusercontent.com/SweetSophia/mifitxiaomipiholelist/master/mifitblocklist.txt,1,1662292470,1662292470,,1662292817,57,0,1
31,https://raw.githubusercontent.com/Akamaru/Pi-Hole-Lists/master/mobile.txt,1,1662292470,1662292470,,,0,0,4
32,https://v.firebog.net/hosts/lists.php?type=nocross,1,1662292470,1662292470,,1662292818,0,0,1
33,https://zerodot1.gitlab.io/CoinBlockerLists/hosts_browser,1,1662292470,1662292470,,1662292819,3496,0,1
34,https://raw.githubusercontent.com/root-host/Spotify-AdBlock/master/domains2,1,1662292470,1662292470,,1662292819,43,0,1
35,https://raw.githubusercontent.com/kboghdady/youTube_ads_4_pi-hole/master/youtubelist.txt,1,1662292470,1662292470,,1662292820,16848,0,1
